player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Adrian Peterson,3623,HB,DET,16,0,11,,0.0,0,0.0,80,60.0,0,5.3,9,169,,0.0,0,0.0,79
Luke Juriga,29571,C,PHI,3,0,24,53.7,100.0,5,55.6,5,54.0,0,100.0,9,9,58.8,100.0,3,33.3,3
Frank Gore,2282,HB,NYJ,15,0,22,,0.0,0,0.0,56,59.8,0,4.5,9,198,,0.0,0,0.0,132
Anthony McFarland Jr.,57289,HB,PIT,11,0,25,60.0,11.1,2,25.0,18,44.6,0,19.0,8,42,,0.0,0,0.0,15
Christian Wilkins,50293,DI,MIA,5,0,17,67.8,100.0,4,50.0,4,57.3,0,100.0,8,8,60.0,100.0,1,12.5,1
Isaiah Zuber,26884,WR,NE,4,0,19,58.9,100.0,4,50.0,4,79.0,0,80.0,8,10,78.1,100.0,2,25.0,2
DeeJay Dallas,55632,HB,SEA,7,0,29,,0.0,0,0.0,6,60.0,0,19.5,8,41,60.0,7.4,2,25.0,27
Tim Boyle,21956,QB,GB,8,0,12,60.0,100.0,4,50.0,4,60.0,0,38.1,8,21,60.0,100.0,4,50.0,4
Donte Moncrief,8725,WR,NE,2,0,19,59.3,100.0,1,12.5,1,59.6,0,88.9,8,9,61.1,100.0,6,75.0,6
Rico Gafford,29622,WR,LV,2,0,23,60.0,100.0,2,25.0,2,60.6,0,100.0,8,8,60.6,100.0,6,75.0,6
Keith Kirkwood,48017,WR,CAR,1,0,5,59.9,100.0,2,25.0,2,53.7,0,100.0,8,8,54.0,100.0,6,75.0,6
Trenton Cannon,66446,HB,CAR,9,0,5,60.0,16.7,1,14.3,6,57.5,0,38.9,7,18,58.0,44.4,4,57.1,9
DeAndre Washington,10777,HB,MIA,4,0,17,,0.0,0,0.0,14,60.0,0,18.4,7,38,60.0,5.6,1,14.3,18
Jalen Richard,11395,HB,LV,11,0,23,59.3,21.4,3,42.9,14,29.0,0,24.1,7,29,60.0,16.7,2,28.6,12
Christian McCaffrey,11763,HB,CAR,3,0,5,60.0,2.9,1,14.3,35,34.4,0,10.1,7,69,60.0,3.4,1,14.3,29
Tommylee Lewis,11231,WR,NO,5,0,20,60.0,100.0,3,42.9,3,61.9,0,77.8,7,9,60.7,100.0,4,57.1,4
Joey Hunt,10849,C,IND,1,0,14,59.8,100.0,2,33.3,2,55.7,0,100.0,6,6,57.3,100.0,2,33.3,2
