player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Anthony Dixon,5696,HB,SF,14,0,28,62.5,61.4,27,50.0,44,59.3,0,64.3,54,84,,,0,0.0,0
Brandon Bostick,7605,TE,GB,9,0,12,59.9,100.0,8,14.8,8,51.5,0,100.0,54,54,,,0,0.0,0
Marlon Moore,5887,WR,MIA,13,0,17,72.7,100.0,17,31.5,17,74.4,0,98.2,54,55,,,0,0.0,0
Sam Baker,4335,T,ATL,4,0,2,58.5,100.0,15,27.8,15,57.1,1,100.0,54,54,,,0,0.0,0
Orson Charles,7116,FB,CIN,8,0,7,73.4,100.0,13,24.1,13,58.2,1,100.0,54,54,,,0,0.0,0
Ricardo Lockette,6622,WR,SEA,11,0,29,59.2,100.0,4,7.4,4,75.0,2,98.2,54,55,,,0,0.0,0
Allen Barbre,3735,T,PHI,7,0,24,71.3,100.0,8,15.1,8,64.9,1,100.0,53,53,,,0,0.0,0
Patrick Edwards,7463,WR,DET,4,0,11,60.7,100.0,20,37.7,20,68.8,0,100.0,53,53,,,0,0.0,0
Dwayne Harris,6328,WR,DAL,9,0,9,98.3,95.0,19,35.8,20,94.9,0,98.1,53,54,,,0,0.0,0
MarQueis Gray,8286,TE,CLV,11,0,8,60.4,85.7,18,34.6,21,60.6,0,89.7,52,58,,,0,0.0,0
Carl Nicks,4478,G,TB,2,0,30,72.3,100.0,18,34.6,18,78.7,0,100.0,52,52,,,0,0.0,0
Brandon Gibson,5118,WR,MIA,7,0,17,74.5,100.0,14,27.5,14,82.1,0,100.0,51,51,,,0,0.0,0
Josh Boyce,7884,WR,NE,7,0,19,86.3,100.0,22,43.1,22,82.4,0,100.0,51,51,,,0,0.0,0
Josh Kline,8230,G,NE,4,0,19,52.8,100.0,7,14.0,7,64.2,0,100.0,50,50,,,0,0.0,0
Chris Snee,1755,G,NYG,3,0,21,58.6,100.0,20,40.0,20,60.1,0,100.0,50,50,,,0,0.0,0
J'Marcus Webb,5741,T,MIN,4,0,18,91.6,100.0,9,18.0,9,74.9,0,100.0,50,50,,,0,0.0,0
Luke Stocker,6256,TE,TB,2,0,30,64.3,100.0,14,28.6,14,63.5,0,100.0,49,49,,,0,0.0,0
Ryan Clady,4326,T,DEN,2,0,10,63.6,100.0,8,16.3,8,61.9,0,100.0,49,49,,,0,0.0,0
Billy Bajema,2466,TE,BLT,5,0,3,61.4,100.0,9,18.4,9,54.3,0,100.0,49,49,,,0,0.0,0
Deonte Thompson,7513,WR,BLT,4,0,3,55.2,100.0,11,22.4,11,58.0,0,100.0,49,49,,,0,0.0,0
Markus Wheaton,7860,WR,PIT,10,0,25,90.9,100.0,11,22.9,11,74.1,0,100.0,48,48,,,0,0.0,0
Weslye Saunders,6496,TE,IND,6,0,14,54.2,100.0,17,35.4,17,51.4,0,100.0,48,48,,,0,0.0,0
Blaine Gabbert,6162,QB,JAX,3,0,15,60.2,100.0,24,50.0,24,60.3,0,96.0,48,50,,,0,0.0,0
Bilal Powell,6278,HB,NYJ,16,0,22,56.8,11.0,8,17.0,73,64.8,0,20.6,47,228,,,0,0.0,0
Myles White,8243,WR,GB,6,0,12,58.4,100.0,8,17.0,8,54.8,0,100.0,47,47,,,0,0.0,0
Larry Donnell,7638,TE,NYG,14,0,21,47.8,100.0,16,34.0,16,57.2,0,100.0,47,47,,,0,0.0,0
Quinn Johnson,5069,FB,TEN,4,0,31,66.1,100.0,18,39.1,18,58.7,0,100.0,46,46,,,0,0.0,0
Chris Ogbonnaya,5135,HB,CLV,15,0,8,58.8,30.8,12,26.7,39,61.3,0,46.9,45,96,,,0,0.0,0
Rokevious Watkins,7143,G,KC,3,0,16,54.9,100.0,14,31.1,14,60.8,0,100.0,45,45,,,0,0.0,0
DeAngelo Williams,2972,HB,CAR,16,0,5,55.3,8.3,11,24.4,132,55.9,0,17.8,45,253,,,0,0.0,0
Jason Pinkston,6302,G,CLV,3,0,8,73.2,100.0,18,40.9,18,65.6,0,100.0,44,44,,,0,0.0,0
Chris Spencer,2243,C,TEN,3,0,31,61.3,100.0,12,27.3,12,72.0,1,100.0,44,44,,,0,0.0,0
Clyde Gates,6263,WR,NYJ,6,0,22,60.8,100.0,14,31.8,14,60.1,0,100.0,44,44,,,0,0.0,0
Chase Daniel,5214,QB,KC,5,0,16,60.0,100.0,13,30.2,13,60.0,0,82.7,43,52,,,0,0.0,0
Trevor Robinson,7375,C,CIN,3,0,7,60.5,100.0,10,23.3,10,59.8,1,100.0,43,43,,,0,0.0,0
Kevin Brock,5328,TE,CIN,4,0,7,47.2,100.0,14,32.6,14,52.3,0,100.0,43,43,,,0,0.0,0
Jeff Tuel,8508,QB,BUF,2,0,4,60.0,100.0,15,34.9,15,60.0,0,97.7,43,44,,,0,0.0,0
Bobby Massie,7112,T,ARZ,7,0,1,66.9,100.0,6,14.0,6,64.9,0,100.0,43,43,,,0,0.0,0
Dallas Reynolds,5241,C,NYG,2,0,21,73.1,100.0,13,30.2,13,74.3,0,100.0,43,43,,,0,0.0,0
Brian Hoyer,5277,QB,CLV,3,0,8,60.2,100.0,14,32.6,14,60.3,0,91.5,43,47,,,0,0.0,0
David Baas,2250,C,NYG,3,0,21,72.2,100.0,16,37.2,16,66.8,1,100.0,43,43,,,0,0.0,0
Stephen Burton,6388,WR,JAX,4,0,15,68.8,100.0,16,38.1,16,62.8,0,97.7,42,43,,,0,0.0,0
Zach Line,8420,FB,MIN,3,0,18,54.0,100.0,11,26.8,11,66.1,0,100.0,41,41,,,0,0.0,0
Mario Manningham,4409,WR,SF,6,0,28,55.8,100.0,22,55.0,22,69.9,0,100.0,40,40,,,0,0.0,0
Fred Jackson,3368,HB,BUF,16,0,4,,0.0,0,0.0,30,56.5,0,15.9,40,251,,,0,0.0,0
Brandon Tate,5006,WR,CIN,12,0,7,85.4,100.0,9,22.5,9,71.7,0,100.0,40,40,,,0,0.0,0
Marshawn Lynch,3628,HB,SEA,19,0,29,59.9,3.6,2,5.1,56,60.7,0,9.4,39,413,,,0,0.0,0
David Johnson,5165,TE,PIT,5,0,25,73.1,100.0,10,25.6,10,75.2,0,100.0,39,39,,,0,0.0,0
Rashad Jennings,5174,HB,OAK,14,0,23,59.8,2.4,2,5.1,85,59.3,0,18.8,39,207,,,0,0.0,0
Andrew Hawkins,6125,WR,CIN,8,0,7,73.1,100.0,15,39.5,15,72.7,0,95.0,38,40,,,0,0.0,0
Jamaal Charles,4387,HB,KC,16,0,16,60.0,1.3,1,2.6,79,64.1,0,12.3,38,310,,,0,0.0,0
Will Tukuafu,7764,DI,SF,5,0,28,91.9,100.0,15,40.5,15,86.9,0,100.0,37,37,,,0,0.0,0
Jonathan Baldwin,6178,WR,SF,7,0,28,61.1,100.0,16,44.4,16,60.5,0,100.0,36,36,,,0,0.0,0
Lestar Jean,6705,WR,HST,9,0,13,38.8,100.0,10,27.8,10,55.0,2,100.0,36,36,,,0,0.0,0
Jaron Brown,8128,WR,ARZ,12,0,1,59.7,100.0,2,5.6,2,66.1,0,100.0,36,36,,,0,0.0,0
Travis Benjamin,7100,WR,CLV,6,0,8,62.1,100.0,23,63.9,23,61.6,0,97.3,36,37,,,0,0.0,0
Joe Looney,7117,G,SF,3,0,28,54.1,100.0,18,51.4,18,53.4,1,100.0,35,35,,,0,0.0,0
Skye Dawson,8453,WR,TB,4,0,30,58.3,100.0,11,31.4,11,56.2,0,94.6,35,37,,,0,0.0,0
Marquess Wilson,8019,WR,CHI,8,0,6,50.2,100.0,11,31.4,11,54.8,0,100.0,35,35,,,0,0.0,0
Kyle Adams,6556,TE,TB,6,0,30,47.9,100.0,13,37.1,13,50.9,0,100.0,35,35,,,0,0.0,0
Chris Kuper,3106,G,DEN,2,0,10,62.3,100.0,7,20.6,7,69.9,0,100.0,34,34,,,0,0.0,0
Rishaw Johnson,7493,G,KC,3,0,16,43.4,100.0,14,41.2,14,65.1,0,100.0,34,34,,,0,0.0,0
Kassim Osgood,1676,WR,SF,9,0,28,71.6,100.0,17,50.0,17,78.4,0,100.0,34,34,,,0,0.0,0
Eric Kush,7952,C,KC,2,0,16,74.8,100.0,13,39.4,13,54.3,0,100.0,33,33,,,0,0.0,0
Austin Collie,5051,WR,NE,7,0,19,60.7,100.0,10,30.3,10,72.0,0,100.0,33,33,,,0,0.0,0
Cole Beasley,7330,WR,DAL,13,0,9,60.2,100.0,5,15.2,5,53.5,0,100.0,33,33,,,0,0.0,0
Stephen Williams,5880,WR,JAX,5,0,15,59.9,100.0,6,18.8,6,42.9,0,100.0,32,32,,,0,0.0,0
Steve Maneri,6028,TE,CHI,3,0,6,45.3,100.0,10,31.3,10,48.0,0,100.0,32,32,,,0,0.0,0
Michael Palmer,5784,TE,PIT,8,0,25,59.9,100.0,1,3.1,1,57.5,0,100.0,32,32,,,0,0.0,0
Seyi Ajirotutu,6035,WR,SD,9,0,27,59.6,100.0,8,25.8,8,58.8,0,100.0,31,31,,,0,0.0,0
Kory Sperry,5369,TE,ARZ,6,0,1,52.9,100.0,6,19.4,6,54.8,0,100.0,31,31,,,0,0.0,0
Spencer Larsen,4497,FB,TB,9,0,30,64.3,100.0,16,51.6,16,66.5,1,100.0,31,31,,,0,0.0,0
Malcom Floyd,2044,WR,SD,2,0,27,60.9,100.0,14,45.2,14,88.7,0,100.0,31,31,,,0,0.0,0
Russell Shepard,8254,WR,TB,8,0,30,95.5,100.0,14,45.2,14,88.8,0,100.0,31,31,,,0,0.0,0
Chris Ivory,6007,HB,NYJ,15,0,22,57.0,8.0,4,13.3,50,55.0,0,13.9,30,216,,,0,0.0,0
Seneca Wallace,1422,QB,GB,2,0,12,60.0,100.0,7,23.3,7,60.0,0,100.0,30,30,,,0,0.0,0
Lamar Mady,8532,G,OAK,4,0,23,72.7,100.0,13,43.3,13,63.1,0,100.0,30,30,,,0,0.0,0
Dorin Dickerson,5750,TE,DET,4,0,11,76.2,100.0,6,20.0,6,79.7,1,100.0,30,30,,,0,0.0,0
Reggie Bush,2947,HB,DET,14,0,11,60.0,2.2,2,6.7,90,57.4,0,11.6,30,258,,,0,0.0,0
Nick Kasa,7954,TE,OAK,11,0,23,59.0,100.0,19,65.5,19,57.6,0,100.0,29,29,,,0,0.0,0
Bryan Walters,6139,WR,SEA,5,0,29,60.0,100.0,3,10.3,3,79.8,0,100.0,29,29,,,0,0.0,0
Darren McFadden,4318,HB,OAK,10,0,23,73.1,12.1,7,24.1,58,60.9,0,20.3,29,143,,,0,0.0,0
Louis Murphy Jr.,5048,WR,NYG,8,0,21,59.3,100.0,8,28.6,8,71.5,0,100.0,28,28,,,0,0.0,0
Brock Osweiler,7059,QB,DEN,3,0,10,60.0,100.0,6,21.4,6,60.0,0,93.3,28,30,,,0,0.0,0
Tony Scheffler,3006,TE,DET,5,0,11,57.6,100.0,8,28.6,8,62.7,0,100.0,28,28,,,0,0.0,0
Dane Sanzenbacher,6570,WR,CIN,6,0,7,59.3,100.0,6,21.4,6,59.5,0,100.0,28,28,,,0,0.0,0
Mike McNeill,6787,TE,SL,8,0,26,63.1,100.0,8,29.6,8,57.3,0,100.0,27,27,,,0,0.0,0
Andre Ellington,7968,HB,ARZ,14,0,1,60.0,6.9,2,7.4,29,68.4,0,18.2,27,148,,,0,0.0,0
Garrett Gilkey,8010,G,CLV,2,0,8,52.2,100.0,11,40.7,11,44.5,0,100.0,27,27,,,0,0.0,0
Chris Gragg,8004,TE,BUF,7,0,4,56.8,100.0,5,19.2,5,53.5,0,100.0,26,26,,,0,0.0,0
Donald Thomas,4509,G,IND,2,0,14,76.8,100.0,17,65.4,17,75.6,0,100.0,26,26,,,0,0.0,0
Quinton Patton,7910,WR,SF,9,0,28,60.1,100.0,8,30.8,8,73.7,0,92.9,26,28,,,0,0.0,0
Giovani Bernard,7818,HB,CIN,17,0,7,60.0,3.1,2,8.0,64,71.5,0,11.8,25,212,,,0,0.0,0
Matt Simms,7423,QB,NYJ,3,0,22,60.0,100.0,8,32.0,8,60.0,0,96.2,25,26,,,0,0.0,0
Harland Gunn,7333,G,ATL,3,0,2,77.2,100.0,3,12.0,3,70.5,0,100.0,25,25,,,0,0.0,0
Nate Potter,7205,T,ARZ,7,0,1,47.8,100.0,5,20.0,5,44.9,0,100.0,25,25,,,0,0.0,0
Percy Harvin,4945,WR,SEA,3,0,29,60.0,100.0,2,8.3,2,57.9,0,88.9,24,27,,,0,0.0,0
Pierre Thomas,4080,HB,NO,16,0,20,,0.0,0,0.0,35,62.9,0,13.9,24,173,,,0,0.0,0
Steve Schilling,6353,G,SD,3,0,27,52.4,100.0,6,25.0,6,52.9,0,100.0,24,24,,,0,0.0,0
Damaris Johnson,7530,WR,PHI,7,0,24,60.0,100.0,4,16.7,4,60.2,0,100.0,24,24,,,0,0.0,0
Tarvaris Jackson,3009,QB,SEA,4,0,29,60.0,100.0,3,12.5,3,60.0,0,85.7,24,28,,,0,0.0,0
Kyle Orton,2323,QB,DAL,3,0,9,60.0,100.0,4,16.7,4,60.0,0,100.0,24,24,,,0,0.0,0
Derek Carrier,7406,TE,SF,3,0,28,52.9,100.0,6,25.0,6,60.4,0,100.0,24,24,,,0,0.0,0
Marcus Easley,5631,WR,BUF,7,0,4,60.5,100.0,4,16.7,4,60.6,0,100.0,24,24,,,0,0.0,0
Ryan Mathews,5537,HB,SD,18,0,27,,0.0,0,0.0,85,56.9,0,6.9,23,333,,,0,0.0,0
Geoff Hangartner,2386,G,CAR,8,0,5,53.0,100.0,15,65.2,15,62.8,0,100.0,23,23,,,0,0.0,0
